page,brand,model,category,size,storage,color,price,source,condition,date,article_number,n_of_reviews,rating,delivery_time
2,xiaomi,redmi note 13 5g,Smartphone,6.67,256,black,254.0,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-note-13-5g-2220891.html,new,2024-04-07,2220891.0,7,4.9,6.0
2,apple,iphone se (2022),Smartphone,4.7,64,unknown,383.0,https://www.mediamarkt.ch/de/product/_apple-iphone-se-2022-2118897.html,new,2024-04-07,2118897.0,8,4.5,2.0
2,samsung,galaxy a54 5g,Smartphone,6.4,128,unknown,299.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a54-5g-2173979.html,new,2024-04-07,2173979.0,310,4.4,2.0
2,apple,iphone 13,Smartphone,6.1,128,blue,529.0,https://www.mediamarkt.ch/de/product/_apple-iphone-13-2091439.html,new,2024-04-07,2091439.0,3,4.7,
2,nothing,phone (2a),Smartphone,6.7,128,schwarz,329.0,https://www.mediamarkt.ch/de/product/_nothing-phone-2a-2223930.html,new,2024-04-07,2223930.0,0,0.0,
2,xiaomi,redmi note 13 pro+ 5g,Smartphone,6.67,512,black,413.0,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-note-13-pro-5g-2220879.html,new,2024-04-07,2220879.0,4,5.0,2.0
2,apple,iphone 15 pro,Smartphone,6.1,128,black,932.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-2203403.html,new,2024-04-07,2203403.0,28,4.9,2.0
2,nothing,phone (2a),Smartphone,6.7,256,weiss,379.0,https://www.mediamarkt.ch/de/product/_nothing-phone-2a-2223929.html,new,2024-04-07,2223929.0,1,5.0,
2,apple,iphone 15,Smartphone,6.1,128,green,719.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-2203375.html,new,2024-04-07,2203375.0,3,5.0,2.0
2,apple,iphone 13,Smartphone,6.1,128,green,529.0,https://www.mediamarkt.ch/de/product/_apple-iphone-13-2118876.html,new,2024-04-07,2118876.0,0,0.0,2.0
